dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,1997,1001/420/1997-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/1997-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2000,1001/420/2000-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2000-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2001,1001/420/2001-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2001-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2002,1001/420/2002-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2002-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2004,1001/420/2004-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2004-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2005,1001/420/2005-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2005-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2006,1001/420/2006-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2006-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2007,1001/420/2007-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2007-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2008,1001/420/2008-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2008-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2009,1001/420/2009-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2009-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2010,1001/420/2010-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2010-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2011,1001/420/2011-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2011-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2012,1001/420/2012-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2012-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2013,1001/420/2013-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2013-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2014,1001/420/2014-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2014-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2015,1001/420/2015-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2015-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2017,1001/420/2017-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2017-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2018,1001/420/2018-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2018-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2019,1001/420/2019-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2019-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2020,1001/420/2020-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2020-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2021,1001/420/2021-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2021-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2022,1001/420/2022-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2022-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2023,1001/420/2023-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2023-george-river-sockeye.json
adfg-commercial,escapement_monitoring,1001,George River,,420,Sockeye,2025,1001/420/2025-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2025-george-river-sockeye.json
